caseid,midprice
143,3.3560884
144,3.365092993
145,3.355317354
146,3.355449915
147,3.352328777
148,3.352148533
149,3.347779751
150,3.349713564
151,3.359524965
152,3.359764099
153,3.359473467
154,3.361438036
155,3.359384298
156,3.359527826
157,3.369089365
158,3.365318298
159,3.366739988
160,3.364353418
161,3.355918884
162,3.3600986
163,3.356605768
164,3.355068684
165,3.355501175
166,3.357770205
167,3.358097553
168,3.362508774
169,3.358900547
170,3.352479696
171,3.350884914
172,3.347460747
173,3.345629215
174,3.347115278
175,3.345843315
176,3.343058109
177,3.345380306
178,3.348517656
179,3.348613977
180,3.350210667
181,3.345125675
182,3.340999365
183,3.345506668
184,3.348843098
185,3.350697756
186,3.349553823
187,3.360857248
188,3.363650084
189,3.366704464
190,3.361747265
191,3.362478495
192,3.360599995
193,3.359525442
194,3.362561226
195,3.360018015
196,3.365221262
197,3.359050035
198,3.358142614
199,3.356063366
200,3.354953051
201,3.352539778
202,3.353577375
203,3.35366106
204,3.353307009
205,3.351924658
206,3.354375839
207,3.352624655
208,3.355567694
209,3.355004549
210,3.354497433
211,3.348962307
212,3.348679304
213,3.34868598
214,3.351623774
215,3.350537062
216,3.349089146
217,3.347434759
218,3.346451998
219,3.347469807
220,3.346347094
221,3.342510223
222,3.344369888
223,3.344488621
224,3.342909098
225,3.344527721
226,3.34872961
227,3.349816084
228,3.347445726
229,3.341934204
230,3.338261604
231,3.337678909
232,3.341218948
233,3.341190815
234,3.343369007
235,3.343239784
236,3.344301462
237,3.345192909
238,3.349166155
239,3.358299494
240,3.354936123
241,3.351541042
242,3.350526333
243,3.351911545
244,3.366893291
245,3.369214773
246,3.375627518
247,3.368777037
248,3.36894083
249,3.367493391
250,3.36989975
251,3.375463963
252,3.374256849
253,3.369679928
254,3.36692524
255,3.362422943
256,3.361601591
257,3.36273098
258,3.357920408
259,3.354617596
260,3.353564262
261,3.351956844
262,3.353272676
263,3.352506876
264,3.353515625
265,3.34965992
266,3.344479799
267,3.3446455
268,3.338164806
269,3.330854177
270,3.334711313
271,3.332241774
272,3.331644773
273,3.331930876
274,3.319550514
275,3.321270466
276,3.322849274
277,3.330406427
278,3.331031322
279,3.326437712
280,3.327453375
281,3.330333948
282,3.329451323
283,3.33515811
284,3.3365376
285,3.340182543
286,3.337807894
287,3.338222265
288,3.338349581
289,3.337110996
290,3.337541819
291,3.337833881
292,3.342494726
293,3.350863457
294,3.354145527
295,3.352005243
296,3.351491928
297,3.349975109
298,3.351522923
299,3.347620964
300,3.347613811
301,3.34746933
302,3.345075607
303,3.345509052
304,3.346428394
305,3.340527296
306,3.340115786
307,3.340769529
308,3.341467857
309,3.342413187
310,3.341789007
311,3.354502916
312,3.353697538
313,3.348677635
314,3.345554113
315,3.343648195
316,3.342218399
317,3.340344429
318,3.341727257
319,3.341211796
320,3.345150471
321,3.347572088
322,3.346383095
323,3.345704079
324,3.34444809
325,3.343243122
326,3.342974901
327,3.339576483
328,3.337250471
329,3.340601921
330,3.340051174
331,3.342739344
332,3.345083952
333,3.243234873
334,3.247063637
335,3.260854483
336,3.255408049
337,3.254516363
338,3.263068438
339,3.256254911
340,3.260457039
341,3.265627861
342,3.269304752
343,3.263698101
344,3.260849953
345,3.262197733
346,3.257279873
347,3.252250433
348,3.252356529
349,3.256748915
350,3.25523591
351,3.257127762
352,3.264736414
353,3.263317347
354,3.263269901
355,3.268496513
356,3.268202782
357,3.265332222
358,3.261520147
359,3.261349678
360,3.260197163
361,3.255754232
362,3.254356146
363,3.256213427
364,3.253633499
365,3.246892452
366,3.242739439
367,3.234502077
368,3.234746218
369,3.229915619
370,3.233308554
371,3.234726906
372,3.233957052
373,3.237005234
374,3.222537756
375,3.229316235
376,3.221818686
377,3.208015442
378,3.210361719
379,3.20788908
380,3.214930058
381,3.21447897
382,3.213980675
383,3.213322639
384,3.206403971
385,3.207069874
386,3.206800699
387,3.201071739
388,3.195504189
389,3.19496727
390,3.196578979
391,3.199517012
392,3.202752352
393,3.202274799
394,3.2051723
395,3.212757826
396,3.215981722
397,3.213579655
398,3.21165204
399,3.211102962
400,3.209769011
401,3.213112116
402,3.208353519
403,3.207323074
404,3.20449543
405,3.204430103
406,3.20118022
407,3.200414181
408,3.202769995
409,3.204396486
410,3.1988132
411,3.198725939
412,3.194236517
413,3.193026543
414,3.191323519
415,3.183503628
416,3.178709269
417,3.172168493
418,3.179626942
419,3.171520233
420,3.169023514
421,3.158405542
422,3.156120777
423,3.15465045
424,3.160047293
425,3.160417795
426,3.165338516
427,3.17433691
428,3.175132513
429,3.186232805
430,3.178640127
431,3.190306664
432,3.200154543
433,3.192752361
434,3.191101074
435,3.187438726
436,3.194289923
437,3.19239521
438,3.190963268
439,3.190219164
440,3.187397718
441,3.186465979
442,3.186200619
443,3.184674501
444,3.184212923
445,3.181402683
446,3.192367792
447,3.194754124
448,3.192268848
449,3.194153786
450,3.190966845
451,3.187974691
452,3.183679819
453,3.180936337
454,3.181986332
455,3.178336143
456,3.177831411
457,3.178784609
458,3.176859379
459,3.166664362
460,3.163666725
461,3.166730404
462,3.163582802
463,3.161964893
464,3.173796177
465,3.174813032
466,3.177810907
467,3.173438311
468,3.174529076
469,3.174319744
470,3.182413816
471,3.18705678
472,3.194416761
473,3.200423241
474,3.204180717
475,3.206072092
476,3.209465265
477,3.214159727
478,3.218309402
479,3.218426943
480,3.22500658
481,3.225490332
482,3.221695185
483,3.220273018
484,3.220045328
485,3.220534086
486,3.224487543
487,3.234299183
488,3.235119104
489,3.230742216
490,3.22854495
491,3.228546381
492,3.227701187
493,3.228726625
494,3.233805418
495,3.230934858
496,3.224921942
497,3.223711729
498,3.223513365
499,3.227224827
500,3.230732203
501,3.232339144
502,3.236435175
503,3.235897541
504,3.229302168
505,3.225518942
506,3.22678709
507,3.227963686
508,3.231426477
509,3.235144854
510,3.23431921
511,3.23462677
512,3.245032787
513,3.246153831
514,3.240351915
515,3.235465288
516,3.23725462
517,3.236706018
518,3.234473944
519,3.237863064
520,3.243626595
521,3.239807844
522,3.236905098
523,3.234239817
524,3.233901262
525,3.231404781
526,3.225269079
527,3.221256971
528,3.231183052
529,3.233516216
530,3.219544649
531,3.218153477
532,3.218498468
533,3.21869421
534,3.225336313
535,3.227318287
536,3.231107473
537,3.235294819
538,3.237539291
539,3.236513138
540,3.238937378
541,3.234110117
542,3.233031273
543,3.22835803
544,3.228343248
545,3.227499723
546,3.224786282
547,3.226320267
548,3.22487545
549,3.22584343
550,3.221075773
551,3.218283415
552,3.218157768
553,3.221293449
554,3.222281694
555,3.220316887
556,3.220826626
557,3.224297762
558,3.223754644
559,3.221409082
560,3.216750383
561,3.219232082
562,3.218570471
563,3.219417095
564,3.217908144
565,3.214221001
566,3.212753773
567,3.214191914
568,3.209024191
569,3.20417428
570,3.201941729
571,3.203222752
572,3.204964161
573,3.206196308
574,3.208310127
575,3.206983566
576,3.20701766
577,3.208675385
578,3.20949769
579,3.211392641
580,3.210049152
581,3.206886768
582,3.204508066
583,3.206214905
584,3.207851648
585,3.213711739
586,3.214360952
587,3.209788561
588,3.209814072
589,3.208002806
590,3.21019268
591,3.21335578
592,3.208497286
593,3.208379507
594,3.207007647
595,3.20732975
596,3.207603931
597,3.203735113
598,3.203912497
599,3.205228329
600,3.203461885
601,3.200743914
602,3.198816538
603,3.196528435
604,3.196137428
605,3.19203186
606,3.191759586
607,3.193438292
608,3.197165489
609,3.194759607
610,3.19268465
611,3.190426111
612,3.189178944
613,3.19040966
614,3.189470053
615,3.18734622
616,3.186980009
617,3.187536478
618,3.187631369
619,3.185542107
620,3.184674025
621,3.201567173
622,3.202242613
623,3.202228785
624,3.197479248
625,3.194122791
626,3.195592165
627,3.195661306
628,3.196485996
629,3.196365595
630,3.196942091
631,3.210234404
632,3.220541716
633,3.222033501
634,3.223249435
635,3.225137949
636,3.222163677
637,3.223245621
638,3.223585367
639,3.216737986
640,3.215319872
641,3.214898825
642,3.213194847
643,3.210442543
644,3.211482048
645,3.207437038
646,3.203541756
647,3.204418898
648,3.201340199
649,3.196243048
650,3.198101521
651,3.199133396
652,3.197270155
653,3.198995113
654,3.203539371
655,3.200146675
656,3.194280624
657,3.192414522
658,3.190917492
659,3.191672564
660,3.188463449
661,3.195705652
662,3.194558144
663,3.196312189
664,3.197122097
665,3.194998503
666,3.189187527
667,3.188836336
668,3.184325933
669,3.185464621
670,3.187419891
671,3.188596487
672,3.187256575
673,3.190361977
674,3.186853409
675,3.18621397
676,3.189078093
677,3.18782258
678,3.192775249
679,3.195426464
680,3.197257757
681,3.194916964
682,3.19350934
683,3.190228701
684,3.189198256
685,3.186239719
686,3.183676004
687,3.183379173
688,3.177646637
689,3.175458431
690,3.175668478
691,3.174966097
692,3.175563335
693,3.174165726
694,3.165764332
695,3.164084196
696,3.165472507
697,3.161904097
698,3.156453609
699,3.15884304
700,3.168041945
701,3.169540167
702,3.17101264
703,3.167180538
704,3.164168119
705,3.163099289
706,3.161356926
707,3.165158987
708,3.166193008
709,3.164168119
710,3.164194822
711,3.157870293
712,3.156013966
713,3.155308962
714,3.158805847
715,3.15984869
716,3.163549662
717,3.164827108
718,3.207538366
719,3.203986168
720,3.199592829
721,3.197094917
722,3.193408489
723,3.188224077
724,3.190432787
725,3.188373566
726,3.188935518
727,3.185370445
728,3.183893204
729,3.185001135
730,3.179320574
731,3.173242331
732,3.167644262
733,3.170212746
734,3.169725418
735,3.177322388
736,3.177646875
737,3.173894644
738,3.173542023
739,3.177167654
740,3.185397863
741,3.186783552
742,3.1909163
743,3.194783449
744,3.194881678
745,3.188019514
746,3.185041666
747,3.183831453
748,3.181020021
749,3.182925463
750,3.183313847
751,3.178575516
752,3.176612377
753,3.175108194
754,3.173790932
755,3.175758362
756,3.176388025
757,3.176256895
758,3.172137737
759,3.167347193
760,3.167644024
761,3.163371086
762,3.159962177
763,3.159422398
764,3.163300991
765,3.165133238
766,3.165724039
767,3.162689447
768,3.160695553
769,3.157507181
770,3.151411295
771,3.151896238
772,3.147477627
773,3.149608612
774,3.141781092
775,3.135843754
776,3.13876152
777,3.141286373
778,3.142173529
779,3.136002779
780,3.131743908
781,3.128697634
782,3.137409687
783,3.158080101
784,3.155186892
785,3.163396358
786,3.167729616
787,3.170633554
788,3.168901443
789,3.165411949
790,3.164333582
791,3.163400412
792,3.163425922
793,3.17342639
794,3.16979599
795,3.176052332
796,3.17765069
797,3.188179255
798,3.189780235
799,3.184571981
800,3.186025858
801,3.18255949
802,3.186922312
803,3.188941717
804,3.188638449
805,3.190217972
806,3.185011387
807,3.183729649
808,3.181974888
809,3.179248571
810,3.179319859
811,3.178739548
812,3.180304289
813,3.178454161
814,3.156030178
815,3.145671368
816,3.139552355
817,3.142390251
818,3.136973619
819,3.149256945
820,3.142060041
821,3.142413855
822,3.13666153
823,3.140957117
824,3.145411015
825,3.141862869
826,3.138222694
827,3.137178898
828,3.137091398
829,3.143259287
830,3.127711058
831,3.135532618
832,3.142862797
833,3.14111352
834,3.14309907
835,3.146689892
836,3.143442869
837,3.141749859
838,3.137576342
839,3.144971848
840,3.152373075
841,3.148137331
842,3.143036366
843,3.141581297
844,3.137123346
845,3.139237165
846,3.136454105
847,3.135746241
848,3.141180515
849,3.134966612
850,3.135494232
851,3.130666494
852,3.130702734
853,3.132408619
854,3.128976345
855,3.132145643
856,3.132348061
857,3.130455256
858,3.123940945
859,3.125983953
860,3.131291389
861,3.129901648
862,3.132086515
863,3.130439043
864,3.128880739
865,3.130366564
866,3.137045622
867,3.136676073
868,3.134986162
869,3.131897449
870,3.131408453
871,3.128190994
872,3.128718376
873,3.129319668
874,3.126293421
875,3.1241014
876,3.125885725
877,3.123734713
878,3.124505758
879,3.126368523
880,3.128199577
881,3.13415885
882,3.134853601
883,3.128917933
884,3.129903555
885,3.128172636
886,3.128212214
887,3.127056837
888,3.125127316
889,3.125347376
890,3.12444663
891,3.12585783
892,3.124854088
893,3.121017933
894,3.120438337
895,3.118184328
896,3.118612766
897,3.117324591
898,3.122522354
899,3.122353554
900,3.119634867
901,3.117124319
902,3.113708019
903,3.116014481
904,3.112403154
905,3.114599228
906,3.106677294
907,3.107812881
908,3.110400677
909,3.108979702
910,3.106639147
911,3.081627131
912,3.078274965
913,3.08822298
914,3.093283176
915,3.103607416
916,3.100410223
917,3.099864244
918,3.099276304
919,3.096072197
920,3.094622612
921,3.096842051
922,3.101623297
923,3.095955372
924,3.092967033
925,3.089960575
926,3.085639954
927,3.081081152
928,3.080431938
929,3.079663277
930,3.082819223
931,3.083316326
932,3.089191675
933,3.093198538
934,3.103174448
935,3.117934465
936,3.112297297
937,3.119241953
938,3.11343646
939,3.123774767
940,3.12552166
941,3.122916937
942,3.120156527
943,3.124825478
944,3.121822834
945,3.131736517
946,3.130188465
947,3.124281168
948,3.123377085
949,3.126004219
950,3.119054079
951,3.118214369
952,3.115638971
953,3.113234997
954,3.117102385
955,3.116500139
956,3.109256268
957,3.111144066
958,3.111011505
959,3.110569715
960,3.111716747
961,3.114008665
962,3.117543459
963,3.124397039
964,3.126060724
965,3.124463797
966,3.121574163
967,3.132275105
968,3.133162022
969,3.138709068
970,3.147744417
971,3.146501064
972,3.144123554
973,3.152154684
974,3.154268503
975,3.15713644
976,3.170627117
977,3.172514439
978,3.172950506
979,3.170954466
980,3.174873114
981,3.174180746
982,3.178168535
983,3.180981159
984,3.188066483
985,3.189215899
986,3.192262173
987,3.191984177
988,3.187255621
989,3.186300516
990,3.187701702
991,3.184115171
992,3.188099384
993,3.188245535
994,3.195764542
995,3.191437721
996,3.189425945
997,3.188802004
998,3.190391064
999,3.197305202
1000,3.192594051
