caseid,midprice
143,3.355696
144,3.364318
145,3.355631
146,3.355444
147,3.352528
148,3.351388
149,3.347556
150,3.349752
151,3.3595
152,3.359472
153,3.359612
154,3.36143
155,3.359528
156,3.359724
157,3.36836
158,3.364528
159,3.366416
160,3.364416
161,3.356612
162,3.359388
163,3.356444
164,3.354528
165,3.355556
166,3.358472
167,3.35764
168,3.362388
169,3.35836
170,3.352444
171,3.350388
172,3.347444
173,3.3455
174,3.3465
175,3.345416
176,3.342584
177,3.345612
178,3.3485
179,3.348528
180,3.35036
181,3.34536
182,3.34064
183,3.345584
184,3.348556
185,3.350472
186,3.34978
187,3.360528
188,3.363612
189,3.366388
190,3.361528
191,3.3625
192,3.360472
193,3.359556
194,3.362444
195,3.359668
196,3.365304
197,3.358986
198,3.358472
199,3.355986
200,3.354444
201,3.352556
202,3.353528
203,3.353556
204,3.353472
205,3.351556
206,3.3545
207,3.352584
208,3.355528
209,3.3545
210,3.354304
211,3.348556
212,3.3485
213,3.34857
214,3.351958
215,3.3505
216,3.348472
217,3.347472
218,3.3465
219,3.346472
220,3.345416
221,3.342528
222,3.344472
223,3.344472
224,3.342528
225,3.344612
226,3.349
227,3.349416
228,3.347416
229,3.341388
230,3.337556
231,3.337528
232,3.341472
233,3.340584
234,3.343444
235,3.3425
236,3.3435
237,3.344612
238,3.348696
239,3.358444
240,3.354902
241,3.351444
242,3.3505
243,3.35192
244,3.366528
245,3.368584
246,3.375332
247,3.368472
248,3.368528
249,3.367556
250,3.369668
251,3.375458
252,3.374374
253,3.369444
254,3.366388
255,3.362472
256,3.3615
257,3.362444
258,3.357416
259,3.354472
260,3.353458
261,3.351556
262,3.353472
263,3.3525
264,3.353416
265,3.34936
266,3.3445
267,3.344444
268,3.338276
269,3.330612
270,3.334444
271,3.3325
272,3.331014
273,3.33122
274,3.319514
275,3.321472
276,3.323308
277,3.330528
278,3.330416
279,3.326528
280,3.327416
281,3.329472
282,3.329528
283,3.334556
284,3.336556
285,3.339472
286,3.337472
287,3.33807
288,3.338472
289,3.337528
290,3.3375
291,3.337556
292,3.341668
293,3.3505
294,3.353472
295,3.352014
296,3.351444
297,3.349556
298,3.351388
299,3.347472
300,3.347472
301,3.347444
302,3.345528
303,3.345584
304,3.346332
305,3.340472
306,3.339528
307,3.340514
308,3.3415
309,3.342444
310,3.341892
311,3.354472
312,3.353332
313,3.348388
314,3.345416
315,3.343444
316,3.341444
317,3.339612
318,3.341472
319,3.340626
320,3.345528
321,3.347444
322,3.346472
323,3.345444
324,3.3445
325,3.342528
326,3.342444
327,3.339472
328,3.336584
329,3.340472
330,3.339584
331,3.342556
332,3.341756
333,3.243612
334,3.247752
335,3.260958
336,3.25564
337,3.254696
338,3.2625
339,3.25664
340,3.260696
341,3.265542
342,3.269332
343,3.26436
344,3.260612
345,3.262416
346,3.256332
347,3.251556
348,3.252612
349,3.256958
350,3.255584
351,3.257668
352,3.264472
353,3.263472
354,3.26264
355,3.268472
356,3.268416
357,3.26536
358,3.2615
359,3.261444
360,3.260416
361,3.255472
362,3.253584
363,3.256472
364,3.253332
365,3.247416
366,3.24222
367,3.234986
368,3.234444
369,3.229612
370,3.233528
371,3.234444
372,3.234416
373,3.236164
374,3.222668
375,3.229304
376,3.221276
377,3.208528
378,3.210458
379,3.208182
380,3.215472
381,3.2145
382,3.214472
383,3.213318
384,3.206556
385,3.207472
386,3.206388
387,3.200388
388,3.195444
389,3.195528
390,3.196612
391,3.199556
392,3.202528
393,3.202556
394,3.204668
395,3.212584
396,3.215444
397,3.2135
398,3.211444
399,3.2105
400,3.209612
401,3.21336
402,3.208444
403,3.207388
404,3.204458
405,3.204416
406,3.201388
407,3.200556
408,3.202612
409,3.204416
410,3.199472
411,3.19836
412,3.194444
413,3.1925
414,3.190818
415,3.18336
416,3.178416
417,3.172668
418,3.17936
419,3.171958
420,3.168304
421,3.158444
422,3.156416
423,3.154612
424,3.1605
425,3.160556
426,3.165724
427,3.1745
428,3.175724
429,3.186304
430,3.17978
431,3.190224
432,3.199332
433,3.192472
434,3.191472
435,3.187738
436,3.194444
437,3.192444
438,3.1905
439,3.190416
440,3.187472
441,3.185472
442,3.1855
443,3.184472
444,3.184472
445,3.18178
446,3.192584
447,3.19536
448,3.191542
449,3.194388
450,3.190444
451,3.1885
452,3.183556
453,3.181528
454,3.181416
455,3.178472
456,3.178014
457,3.178444
458,3.176276
459,3.165958
460,3.164584
461,3.166416
462,3.164416
463,3.161808
464,3.17407
465,3.175528
466,3.17736
467,3.1735
468,3.174528
469,3.174696
470,3.182556
471,3.187154
472,3.194126
473,3.200528
474,3.203556
475,3.205612
476,3.209626
477,3.214612
478,3.217528
479,3.218556
480,3.225472
481,3.225416
482,3.221472
483,3.220528
484,3.220014
485,3.220612
486,3.224752
487,3.234528
488,3.234416
489,3.230472
490,3.2285
491,3.2285
492,3.228042
493,3.22857
494,3.233472
495,3.230304
496,3.224472
497,3.223542
498,3.223584
499,3.227528
500,3.230042
501,3.23264
502,3.236528
503,3.23536
504,3.229472
505,3.225528
506,3.226556
507,3.228042
508,3.231528
509,3.234472
510,3.2345
511,3.234724
512,3.244584
513,3.245388
514,3.240458
515,3.235542
516,3.2365
517,3.236416
518,3.234584
519,3.238098
520,3.243388
521,3.239444
522,3.236416
523,3.2345
524,3.234164
525,3.231014
526,3.225388
527,3.221752
528,3.231472
529,3.23315
530,3.219514
531,3.218014
532,3.218528
533,3.219598
534,3.225472
535,3.227584
536,3.231752
537,3.235556
538,3.237444
539,3.236556
540,3.238444
541,3.234444
542,3.232416
543,3.228528
544,3.228472
545,3.227444
546,3.224472
547,3.226444
548,3.225542
549,3.226388
550,3.221416
551,3.218472
552,3.218542
553,3.221444
554,3.222486
555,3.2205
556,3.22057
557,3.224486
558,3.223986
559,3.22136
560,3.216556
561,3.2195
562,3.218486
563,3.219042
564,3.217388
565,3.213486
566,3.212556
567,3.214416
568,3.208472
569,3.204416
570,3.201556
571,3.203556
572,3.205556
573,3.206556
574,3.2085
575,3.2065
576,3.206556
577,3.208986
578,3.209584
579,3.211472
580,3.210444
581,3.207444
582,3.204528
583,3.205584
584,3.20864
585,3.214056
586,3.214388
587,3.210472
588,3.210444
589,3.207584
590,3.210612
591,3.21336
592,3.208556
593,3.208472
594,3.2065
595,3.207486
596,3.208332
597,3.203986
598,3.203556
599,3.205444
600,3.203444
601,3.200416
602,3.19893
603,3.196528
604,3.196388
605,3.1925
606,3.191556
607,3.193584
608,3.197444
609,3.1945
610,3.193444
611,3.1905
612,3.189528
613,3.1905
614,3.189444
615,3.1875
616,3.187528
617,3.187542
618,3.187444
619,3.185472
620,3.185364
621,3.2015
622,3.202556
623,3.20236
624,3.197444
625,3.194556
626,3.196472
627,3.195556
628,3.196472
629,3.196486
630,3.197808
631,3.209822
632,3.22064
633,3.22207
634,3.2235
635,3.224444
636,3.222472
637,3.223556
638,3.223304
639,3.216444
640,3.215444
641,3.214472
642,3.213388
643,3.210556
644,3.211388
645,3.20736
646,3.203528
647,3.204472
648,3.201332
649,3.196556
650,3.1985
651,3.199444
652,3.197528
653,3.199612
654,3.203388
655,3.20036
656,3.1945
657,3.192444
658,3.1915
659,3.191458
660,3.188752
661,3.195472
662,3.195042
663,3.196528
664,3.197416
665,3.195388
666,3.189472
667,3.188444
668,3.184542
669,3.186028
670,3.1875
671,3.1885
672,3.187584
673,3.190416
674,3.1865
675,3.186528
676,3.189472
