caseid,midprice
143,3.356032592
144,3.364425406
145,3.355436498
146,3.35551235
147,3.351825508
148,3.352328764
149,3.347508398
150,3.349634788
151,3.359391848
152,3.359708687
153,3.359466045
154,3.360777253
155,3.358863328
156,3.3590389
157,3.368684132
158,3.364972812
159,3.366055389
160,3.36380338
161,3.355706679
162,3.359829705
163,3.356380306
164,3.354817206
165,3.355767739
166,3.357423861
167,3.357892595
168,3.362397277
169,3.35882222
170,3.352402165
171,3.350631031
172,3.347405928
173,3.345590104
174,3.347194875
175,3.34545391
176,3.342762574
177,3.345272027
178,3.348504063
179,3.348567947
180,3.350084201
181,3.344693049
182,3.340758327
183,3.345422474
184,3.348735055
185,3.350624341
186,3.349509615
187,3.360798443
188,3.363667152
189,3.366497002
190,3.361734393
191,3.362376693
192,3.360176259
193,3.359427317
194,3.362341543
195,3.360017581
196,3.365113013
197,3.358990614
198,3.357878549
199,3.355799078
200,3.354836085
201,3.352442352
202,3.353291949
203,3.35376065
204,3.353304377
205,3.352070004
206,3.354035062
207,3.352620495
208,3.355622643
209,3.355061031
210,3.354342028
211,3.34934824
212,3.348416336
213,3.348618492
214,3.351435185
215,3.35038075
216,3.348513471
217,3.347362277
218,3.346328945
219,3.347878435
220,3.345858128
221,3.342448701
222,3.344116236
223,3.344424131
224,3.343128823
225,3.344510705
226,3.348332122
227,3.349781837
228,3.347635023
229,3.341688824
230,3.338659133
231,3.337449719
232,3.341136769
233,3.341204522
234,3.342955468
235,3.343214079
236,3.34394734
237,3.345145079
238,3.348704529
239,3.357969295
240,3.35457253
241,3.351286263
242,3.350464992
243,3.351633134
244,3.366630404
245,3.36933957
246,3.375185439
247,3.368778661
248,3.368795522
249,3.367073738
250,3.369817639
251,3.374908591
252,3.373964562
253,3.369528123
254,3.366804064
255,3.362407217
256,3.36124064
257,3.362394359
258,3.357437934
259,3.354331553
260,3.353183238
261,3.351836905
262,3.352877544
263,3.352329862
264,3.353315136
265,3.349153346
266,3.344174631
267,3.344252742
268,3.337690767
269,3.330958062
270,3.334587303
271,3.332142657
272,3.332048347
273,3.331824978
274,3.3192391
275,3.321170569
276,3.322692921
277,3.329786037
278,3.330941467
279,3.326486128
280,3.327469111
281,3.330359502
282,3.32940866
283,3.335112407
284,3.336526219
285,3.340180635
286,3.337797041
287,3.337877707
288,3.338359538
289,3.336866683
290,3.337305399
291,3.33768373
292,3.342326561
293,3.350949651
294,3.354060446
295,3.351588588
296,3.351573899
297,3.349874806
298,3.351532383
299,3.347413273
300,3.347432184
301,3.347530514
302,3.344904519
303,3.345119918
304,3.345775886
305,3.340345786
306,3.339909001
307,3.340364282
308,3.340922937
309,3.342665588
310,3.341769504
311,3.354645409
312,3.35372872
313,3.348264447
314,3.345515781
315,3.343148227
316,3.341929834
317,3.339887623
318,3.341458027
319,3.340865229
320,3.344730501
321,3.34745155
322,3.346035485
323,3.345192536
324,3.34396271
325,3.342915552
326,3.342497476
327,3.339260295
328,3.337064326
329,3.340473549
330,3.339757651
331,3.342755589
332,3.344722966
333,3.243216191
334,3.246864812
335,3.261225789
336,3.255366599
337,3.254006194
338,3.263153285
339,3.256220412
340,3.260193805
341,3.265623292
342,3.269206299
343,3.263660294
344,3.260805954
345,3.262281814
346,3.256767281
347,3.252096827
348,3.252307752
349,3.256829816
350,3.255088649
351,3.257132587
352,3.264985594
353,3.263382457
354,3.262953818
355,3.26857287
356,3.268106756
357,3.265257507
358,3.261649857
359,3.261267348
360,3.260084812
361,3.255795547
362,3.254143566
363,3.256054003
364,3.253381849
365,3.246979281
366,3.242400698
367,3.23459347
368,3.234879688
369,3.229375436
370,3.233441054
371,3.23465223
372,3.233981112
373,3.237072376
374,3.222585001
375,3.229698649
376,3.221475534
377,3.208075838
378,3.210704455
379,3.208016677
380,3.214857278
381,3.214678345
382,3.214251127
383,3.213193652
384,3.206548906
385,3.207371212
386,3.206480828
387,3.20120156
388,3.195536695
389,3.195240529
390,3.196486591
391,3.199750272
392,3.202653217
393,3.202213214
394,3.204847438
395,3.212846426
396,3.215731781
397,3.213474666
398,3.211463806
399,3.210729697
400,3.209439028
401,3.213482914
402,3.208290961
403,3.207500444
404,3.204426857
405,3.204420483
406,3.201099822
407,3.200506393
408,3.202952408
409,3.20462946
410,3.198925992
411,3.198650868
412,3.194405377
413,3.192797997
414,3.191313317
415,3.183857521
416,3.178534234
417,3.172389874
418,3.179603846
419,3.171916722
420,3.169038307
421,3.158740018
422,3.156384278
423,3.154675185
424,3.160293149
425,3.160687473
426,3.165774922
427,3.174687784
428,3.175480915
429,3.186577572
430,3.179258564
431,3.190159206
432,3.20031787
433,3.192950633
434,3.191135873
435,3.187443084
436,3.194901823
437,3.192730963
438,3.191270959
439,3.190737399
440,3.187562563
441,3.185974617
442,3.186357392
443,3.184754305
444,3.184065803
445,3.181283673
446,3.192719183
447,3.194956906
448,3.192046943
449,3.193888802
450,3.190573117
451,3.187911751
452,3.183941901
453,3.180960229
454,3.181948589
455,3.17874319
456,3.178365485
457,3.178588945
458,3.176687579
459,3.166877626
460,3.164041589
461,3.166444753
462,3.164190034
463,3.161735061
464,3.174024085
465,3.174959521
466,3.177786507
467,3.173696978
468,3.174502622
469,3.1747761
470,3.182443053
471,3.187244479
472,3.194417716
473,3.200868337
474,3.204081808
475,3.206226616
476,3.209702791
477,3.214462247
478,3.217847181
479,3.218680991
480,3.225399188
481,3.225446237
482,3.221789113
483,3.220544507
484,3.22024557
485,3.220730693
486,3.224761119
487,3.234624835
488,3.235102745
489,3.230738
490,3.228497839
491,3.228362669
492,3.227720487
493,3.228862926
494,3.233874034
495,3.230646555
496,3.224686758
497,3.223565303
498,3.223538509
499,3.227127241
500,3.230324078
501,3.232483553
502,3.236715121
503,3.235799203
504,3.22948559
505,3.225617574
506,3.226854202
507,3.228418955
508,3.231678
509,3.235277441
510,3.234699199
511,3.234408019
512,3.245098744
513,3.245993269
514,3.24047929
515,3.235742308
516,3.236948265
517,3.236704175
518,3.2346179
519,3.238133275
520,3.243735249
521,3.239802874
522,3.236821868
523,3.234783157
524,3.234065951
525,3.231708893
526,3.225143017
527,3.22178206
528,3.231221675
529,3.233776103
530,3.219816762
531,3.218623422
532,3.218746957
533,3.218952047
534,3.225564078
535,3.227570302
536,3.231131144
537,3.235084529
538,3.237805225
539,3.236364477
540,3.238823189
541,3.234057413
542,3.232687057
543,3.228575866
544,3.228459057
545,3.227595198
546,3.224942106
547,3.226767408
548,3.224817239
549,3.226078278
550,3.221158906
551,3.218547501
552,3.218367731
553,3.221479556
554,3.222617505
555,3.220687943
556,3.220792094
557,3.224572781
558,3.223942908
559,3.221545848
560,3.216733162
561,3.219278832
562,3.218803422
563,3.219551057
564,3.218001088
565,3.214363636
566,3.212616376
567,3.214059171
568,3.209264206
569,3.204317895
570,3.201855985
571,3.203325211
572,3.205213004
573,3.20641725
574,3.208508639
575,3.206840828
576,3.206745838
577,3.20879659
578,3.209865326
579,3.211631485
580,3.210065895
581,3.207052728
582,3.204162175
583,3.206018902
584,3.208155923
585,3.213992755
586,3.214564015
587,3.210171915
588,3.209795228
589,3.207706981
590,3.210425383
591,3.21365881
592,3.208940662
593,3.208324605
594,3.206606867
595,3.207675174
596,3.207862246
597,3.203915916
598,3.203706259
599,3.205372215
600,3.203276934
601,3.200711305
602,3.199172154
603,3.196513046
604,3.196511537
605,3.192420884
606,3.191451003
607,3.193605618
608,3.197537124
609,3.194594123
610,3.193117429
611,3.19051537
612,3.18910082
613,3.1906195
614,3.189691015
615,3.187561685
616,3.187209841
617,3.187405787
618,3.187668111
619,3.185642581
620,3.185351806
621,3.201658408
622,3.202300159
623,3.202720706
624,3.197791306
625,3.194341256
626,3.196034663
627,3.195718221
628,3.196617601
629,3.1966261
630,3.196997733
631,3.209870686
632,3.22074584
633,3.221921876
634,3.223067308
635,3.224696689
636,3.222019741
637,3.22313689
638,3.223643958
639,3.216744477
640,3.215337648
641,3.214919032
642,3.213187193
643,3.210551205
644,3.211889499
645,3.207471129
646,3.203669349
647,3.204577268
648,3.201121352
649,3.196246618
650,3.198484486
651,3.199321822
652,3.197426261
653,3.199284083
654,3.203688836
655,3.200119754
656,3.1944986
657,3.192453964
658,3.19134141
659,3.191548123
660,3.188627569
661,3.195401771
662,3.194469984
663,3.196269271
664,3.197372721
665,3.195394115
666,3.189471412
667,3.188806166
668,3.184664717
669,3.185881921
670,3.187683237
671,3.188485162
672,3.187328595
673,3.190416615
674,3.186575841
675,3.186086977
676,3.189002911
677,3.188326397
678,3.192786496
679,3.195308509
680,3.197042728
681,3.195151482
682,3.193162963
683,3.190336683
684,3.188912415
685,3.186196622
686,3.183850065
687,3.183740674
688,3.177783119
689,3.175361822
690,3.17561732
691,3.175215347
692,3.176026457
693,3.174210668
694,3.165661595
695,3.164206378
696,3.165521133
697,3.16187395
698,3.156517679
699,3.159361248
700,3.167538821
701,3.169572659
702,3.171524642
703,3.166903068
704,3.16463811
705,3.163559408
706,3.161290831
707,3.165645546
708,3.166433797
709,3.164504576
710,3.164326666
711,3.15818977
712,3.155606383
713,3.155347992
714,3.158595982
715,3.160127599
716,3.163611234
717,3.164578068
